name,launch date,source,tdp (W),cores,threads
Celeron P4500  - Intel,2010-03-28,https://en.wikichip.org/wiki/intel/celeron/p4500,35.0,2,2.0
Celeron P4505  - Intel,2010-03-28,https://en.wikichip.org/wiki/intel/celeron/p4505,35.0,2,2.0
Celeron P4600  - Intel,2010-03-28,https://en.wikichip.org/wiki/intel/celeron/p4600,35.0,2,2.0
Celeron U3400  - Intel,2010-05-24,https://en.wikichip.org/wiki/intel/celeron/u3400,18.0,2,2.0
Celeron U3405  - Intel,2010-08-15,https://en.wikichip.org/wiki/intel/celeron/u3405,18.0,2,2.0
Celeron U3600  - Intel,2011-01-11,https://en.wikichip.org/wiki/intel/celeron/u3600,18.0,2,2.0
Core i3-1000G1  - Intel,2019-08-01,https://en.wikichip.org/wiki/intel/core_i3/i3-1000g1,9.0,2,4.0
Core i3-1000G4  - Intel,2019-08-01,https://en.wikichip.org/wiki/intel/core_i3/i3-1000g4,9.0,2,4.0
Core i3-1005G1  - Intel,2019-08-01,https://en.wikichip.org/wiki/intel/core_i3/i3-1005g1,15.0,2,4.0
Core i3-2308M  - Intel,2011-02-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2308m,35.0,2,4.0
Core i3-2310E  - Intel,2011-02-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2310e,35.0,2,4.0
Core i3-2310M  - Intel,2011-02-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2310m,35.0,2,4.0
Core i3-2312M  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2312m,35.0,2,4.0
Core i3-2328M  - Intel,2012-09-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2328m,35.0,2,4.0
Core i3-2330E  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2330e,35.0,2,4.0
Core i3-2330M  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2330m,35.0,2,4.0
Core i3-2332M  - Intel,2011-09-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2332m,35.0,2,4.0
Core i3-2340UE  - Intel,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2340ue,17.0,2,4.0
