normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel core i5-8400,Core i5-8400  - Intel,Intel® Core™ i5-8400 Processor,65.0,65.0,False,6,6,False
intel core i5-8400b,Core i5-8400B  - Intel,Intel® Core™ i5-8400B Processor,65.0,65.0,False,6,6,False
intel core i5-8400h,Core i5-8400H  - Intel,Intel® Core™ i5-8400H Processor,45.0,45.0,False,4,4,False
intel core i5-8400t,Core i5-8400T  - Intel,Intel® Core™ i5-8400T Processor,35.0,35.0,False,6,6,False
intel core i5-8500,Core i5-8500  - Intel,Intel® Core™ i5-8500 Processor,65.0,65.0,False,6,6,False
intel core i5-8500b,Core i5-8500B  - Intel,Intel® Core™ i5-8500B Processor,65.0,65.0,False,6,6,False
intel core i5-8500t,Core i5-8500T  - Intel,Intel® Core™ i5-8500T Processor,35.0,35.0,False,6,6,False
intel core i5-8600,Core i5-8600  - Intel,Intel® Core™ i5-8600 Processor,65.0,65.0,False,6,6,False
intel core i5-8600k,Core i5-8600K  - Intel,Intel® Core™ i5-8600K Processor,95.0,95.0,False,6,6,False
intel core i5-8600t,Core i5-8600T  - Intel,Intel® Core™ i5-8600T Processor,35.0,35.0,False,6,6,False
intel core i5-9300h,Core i5-9300H  - Intel,Intel® Core™ i5-9300H Processor,45.0,45.0,False,4,4,False
intel core i5-9400,Core i5-9400  - Intel,Intel® Core™ i5-9400 Processor,65.0,65.0,False,6,6,False
intel core i5-9400f,Core i5-9400F  - Intel,Intel® Core™ i5-9400F Processor,65.0,65.0,False,6,6,False
intel core i5-9400h,Core i5-9400H  - Intel,Intel® Core™ i5-9400H Processor,45.0,45.0,False,4,4,False
intel core i5-9400t,Core i5-9400T  - Intel,Intel® Core™ i5-9400T Processor,35.0,35.0,False,6,6,False
intel core i5-9500,Core i5-9500  - Intel,Intel® Core™ i5-9500 Processor,65.0,65.0,False,6,6,False
intel core i5-9500f,Core i5-9500F  - Intel,Intel® Core™ i5-9500F Processor,65.0,65.0,False,6,6,False
intel core i5-9500t,Core i5-9500T  - Intel,Intel® Core™ i5-9500T Processor,35.0,35.0,False,6,6,False
intel core i5-9600,Core i5-9600  - Intel,Intel® Core™ i5-9600 Processor,65.0,65.0,False,6,6,False
intel core i5-9600k,Core i5-9600K  - Intel,Intel® Core™ i5-9600K Processor,95.0,95.0,False,6,6,False
