normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel core i5-8400t,intel core i5-8400t,Intel® Core™ i5-8400T Processor,35.0,35.0,False,6,6,False
intel core i5-8500,intel core i5-8500,Intel® Core™ i5-8500 Processor,65.0,65.0,False,6,6,False
intel core i5-8500b,intel core i5-8500b,Intel® Core™ i5-8500B Processor,65.0,65.0,False,6,6,False
intel core i5-8500t,intel core i5-8500t,Intel® Core™ i5-8500T Processor,35.0,35.0,False,6,6,False
intel core i5-8600,intel core i5-8600,Intel® Core™ i5-8600 Processor,65.0,65.0,False,6,6,False
intel core i5-8600k,intel core i5-8600k,Intel® Core™ i5-8600K Processor,95.0,95.0,False,6,6,False
intel core i5-8600t,intel core i5-8600t,Intel® Core™ i5-8600T Processor,35.0,35.0,False,6,6,False
intel core i5-9300h,intel core i5-9300h,Intel® Core™ i5-9300H Processor,45.0,45.0,False,4,4,False
intel core i5-9400,intel core i5-9400,Intel® Core™ i5-9400 Processor,65.0,65.0,False,6,6,False
intel core i5-9400f,intel core i5-9400f,Intel® Core™ i5-9400F Processor,65.0,65.0,False,6,6,False
intel core i5-9400h,intel core i5-9400h,Intel® Core™ i5-9400H Processor,45.0,45.0,False,4,4,False
intel core i5-9400t,intel core i5-9400t,Intel® Core™ i5-9400T Processor,35.0,35.0,False,6,6,False
intel core i5-9500,intel core i5-9500,Intel® Core™ i5-9500 Processor,65.0,65.0,False,6,6,False
intel core i5-9500f,intel core i5-9500f,Intel® Core™ i5-9500F Processor,65.0,65.0,False,6,6,False
intel core i5-9500t,intel core i5-9500t,Intel® Core™ i5-9500T Processor,35.0,35.0,False,6,6,False
intel core i5-9600,intel core i5-9600,Intel® Core™ i5-9600 Processor,65.0,65.0,False,6,6,False
intel core i5-9600k,intel core i5-9600k,Intel® Core™ i5-9600K Processor,95.0,95.0,False,6,6,False
intel core i5-9600kf,intel core i5-9600kf,Intel® Core™ i5-9600KF Processor,95.0,95.0,False,6,6,False
intel core i7-10510u,intel core i7-10510u,Intel® Core™ i7-10510U Processor,15.0,15.0,False,4,4,False
intel core i7-1065g7,intel core i7-1065g7,Intel® Core™ i7-1065G7 Processor,15.0,15.0,False,4,4,False
intel core i7-12700k,intel core i7-12700k,Intel® Core™ i7-12700K Processor,125.0,125.0,False,12,12,False
intel core i7-12700kf,intel core i7-12700kf,Intel® Core™ i7-12700KF Processor,125.0,125.0,False,12,12,False
intel core i7-13700k,intel core i7-13700k,Intel® Core™ i7-13700K Processor,125.0,125.0,False,16,16,False
